,REF_DATE,GEO,Before-tax household income quintile,"Household expenditures, summary-level categories",COORDINATE,Expense,Family type,Age of older adult,Family income,Income
6881,2015,Province 3,Second quintile,Household equipment,C252,761.0,Couple families,25 to 34 years,"$75,000 and over",4490.0
6883,2015,Province 3,Second quintile,Clothing and accessories,C254,2084.0,Couple families,25 to 34 years,"$90,000 and over",3790.0
6884,2015,Province 3,Second quintile,Transportation,C255,9236.0,Couple families,25 to 34 years,Median total income,99390.0
6885,2015,Province 3,Third quintile,Total expenditure,C256,64511.0,Couple families,35 to 44 years,All income groups,10310.0
6888,2015,Province 3,Third quintile,Shelter,C259,12099.0,Couple families,35 to 44 years,"$15,000 and over",10130.0
6892,2015,Province 3,Third quintile,"Water, fuel and electricity for principal accommodation",C263,3194.0,Couple families,35 to 44 years,"$35,000 and over",9780.0
6893,2015,Province 3,Third quintile,Other accommodation,C264,764.0,Couple families,35 to 44 years,"$40,000 and over",9660.0
6896,2015,Province 3,Third quintile,Household furnishings and equipment,C267,1735.0,Couple families,35 to 44 years,"$60,000 and over",9020.0
6897,2015,Province 3,Third quintile,Household furnishings,C268,727.0,Couple families,35 to 44 years,"$70,000 and over",8590.0
6899,2015,Province 3,Third quintile,Household appliances,C270,334.0,Couple families,35 to 44 years,"$80,000 and over",8050.0
6903,2015,Province 3,Fourth quintile,Food purchased from stores,C274,7545.0,Couple families,45 to 54 years,"Under $10,000",80.0
6907,2015,Province 3,Fourth quintile,Rented living quarters,C278,1171.0,Couple families,45 to 54 years,"$25,000 and over",10410.0
6910,2015,Province 3,Fourth quintile,Other accommodation,C281,1622.0,Couple families,45 to 54 years,"$40,000 and over",10180.0
6913,2015,Province 3,Fourth quintile,Household furnishings and equipment,C284,3134.0,Couple families,45 to 54 years,"$60,000 and over",9680.0
6914,2015,Province 3,Fourth quintile,Household furnishings,C285,1278.0,Couple families,45 to 54 years,"$70,000 and over",9290.0
6918,2015,Province 3,Fourth quintile,Transportation,C289,15831.0,Couple families,45 to 54 years,Median total income,137710.0
6919,2015,Province 3,Highest quintile,Total expenditure,C290,162646.0,Couple families,55 to 64 years,All income groups,10240.0
6920,2015,Province 3,Highest quintile,Food purchased from stores,C291,9823.0,Couple families,55 to 64 years,"Under $10,000",60.0
6921,2015,Province 3,Highest quintile,Food purchased from restaurants,C292,3595.0,Couple families,55 to 64 years,"$10,000 and over",10190.0
6923,2015,Province 3,Highest quintile,Principal accommodation,C294,18532.0,Couple families,55 to 64 years,"$20,000 and over",9960.0
6924,2015,Province 3,Highest quintile,Rented living quarters,C295,,Couple families,55 to 64 years,"$25,000 and over",9860.0
6925,2015,Province 3,Highest quintile,Owned living quarters,C296,14083.0,Couple families,55 to 64 years,"$30,000 and over",9750.0
6926,2015,Province 3,Highest quintile,"Water, fuel and electricity for principal accommodation",C297,3949.0,Couple families,55 to 64 years,"$35,000 and over",9630.0
6928,2015,Province 3,Highest quintile,Household operations,C299,8122.0,Couple families,55 to 64 years,"$45,000 and over",9330.0
6930,2015,Province 3,Highest quintile,Household furnishings and equipment,C301,4858.0,Couple families,55 to 64 years,"$60,000 and over",8700.0
6933,2015,Province 3,Highest quintile,Household appliances,C304,889.0,Couple families,55 to 64 years,"$80,000 and over",7520.0
6936,2015,Province 4,All quintiles,Total expenditure,C307,68441.0,Couple families,Total all ages,All income groups,34810.0
6938,2015,Province 4,All quintiles,Food purchased from restaurants,C309,1616.0,Couple families,Total all ages,"$10,000 and over",34360.0
6939,2015,Province 4,All quintiles,Shelter,C310,13071.0,Couple families,Total all ages,"$15,000 and over",34150.0
6940,2015,Province 4,All quintiles,Principal accommodation,C311,11710.0,Couple families,Total all ages,"$20,000 and over",33840.0
6942,2015,Province 4,All quintiles,Owned living quarters,C313,5614.0,Couple families,Total all ages,"$30,000 and over",32360.0
6943,2015,Province 4,All quintiles,"Water, fuel and electricity for principal accommodation",C314,3325.0,Couple families,Total all ages,"$35,000 and over",31020.0
6944,2015,Province 4,All quintiles,Other accommodation,C315,1361.0,Couple families,Total all ages,"$40,000 and over",29690.0
6945,2015,Province 4,All quintiles,Household operations,C316,4390.0,Couple families,Total all ages,"$45,000 and over",28380.0
6947,2015,Province 4,All quintiles,Household furnishings and equipment,C318,1926.0,Couple families,Total all ages,"$60,000 and over",23930.0
6948,2015,Province 4,All quintiles,Household furnishings,C319,577.0,Couple families,Total all ages,"$70,000 and over",20800.0
6953,2015,Province 4,Lowest quintile,Total expenditure,C324,26308.0,Couple families,0 to 24 years,All income groups,460.0
6956,2015,Province 4,Lowest quintile,Shelter,C327,8372.0,Couple families,0 to 24 years,"$15,000 and over",420.0
6958,2015,Province 4,Lowest quintile,Rented living quarters,C329,4482.0,Couple families,0 to 24 years,"$25,000 and over",350.0
6959,2015,Province 4,Lowest quintile,Owned living quarters,C330,1593.0,Couple families,0 to 24 years,"$30,000 and over",310.0
6961,2015,Province 4,Lowest quintile,Other accommodation,C332,,Couple families,0 to 24 years,"$40,000 and over",230.0
6963,2015,Province 4,Lowest quintile,Communications,C334,1386.0,Couple families,0 to 24 years,"$50,000 and over",170.0
6965,2015,Province 4,Lowest quintile,Household furnishings,C336,,Couple families,0 to 24 years,"$70,000 and over",70.0
6966,2015,Province 4,Lowest quintile,Household equipment,C337,430.0,Couple families,0 to 24 years,"$75,000 and over",50.0
6967,2015,Province 4,Lowest quintile,Household appliances,C338,165.0,Couple families,0 to 24 years,"$80,000 and over",40.0
6968,2015,Province 4,Lowest quintile,Clothing and accessories,C339,971.0,Couple families,0 to 24 years,"$90,000 and over",30.0
6971,2015,Province 4,Second quintile,Food purchased from stores,C342,5568.0,Couple families,25 to 34 years,"Under $10,000",70.0
6974,2015,Province 4,Second quintile,Principal accommodation,C345,9729.0,Couple families,25 to 34 years,"$20,000 and over",3540.0
6977,2015,Province 4,Second quintile,"Water, fuel and electricity for principal accommodation",C348,2979.0,Couple families,25 to 34 years,"$35,000 and over",3270.0
6978,2015,Province 4,Second quintile,Other accommodation,C349,,Couple families,25 to 34 years,"$40,000 and over",3140.0
6981,2015,Province 4,Second quintile,Household furnishings and equipment,C352,1333.0,Couple families,25 to 34 years,"$60,000 and over",2390.0
6987,2015,Province 4,Third quintile,Total expenditure,C358,60890.0,Couple families,35 to 44 years,All income groups,5940.0
6989,2015,Province 4,Third quintile,Food purchased from restaurants,C360,1243.0,Couple families,35 to 44 years,"$10,000 and over",5800.0
6990,2015,Province 4,Third quintile,Shelter,C361,12331.0,Couple families,35 to 44 years,"$15,000 and over",5740.0
6994,2015,Province 4,Third quintile,"Water, fuel and electricity for principal accommodation",C365,3197.0,Couple families,35 to 44 years,"$35,000 and over",5410.0
6996,2015,Province 4,Third quintile,Household operations,C367,3977.0,Couple families,35 to 44 years,"$45,000 and over",5160.0
6998,2015,Province 4,Third quintile,Household furnishings and equipment,C369,,Couple families,35 to 44 years,"$60,000 and over",4590.0
7000,2015,Province 4,Third quintile,Household equipment,C371,,Couple families,35 to 44 years,"$75,000 and over",3770.0
7001,2015,Province 4,Third quintile,Household appliances,C372,204.0,Couple families,35 to 44 years,"$80,000 and over",3510.0
7002,2015,Province 4,Third quintile,Clothing and accessories,C373,2566.0,Couple families,35 to 44 years,"$90,000 and over",2990.0
7003,2015,Province 4,Third quintile,Transportation,C374,12807.0,Couple families,35 to 44 years,Median total income,90470.0
7005,2015,Province 4,Fourth quintile,Food purchased from stores,C376,8950.0,Couple families,45 to 54 years,"Under $10,000",110.0
7006,2015,Province 4,Fourth quintile,Food purchased from restaurants,C377,2168.0,Couple families,45 to 54 years,"$10,000 and over",7110.0
7008,2015,Province 4,Fourth quintile,Principal accommodation,C379,13782.0,Couple families,45 to 54 years,"$20,000 and over",7010.0
7009,2015,Province 4,Fourth quintile,Rented living quarters,C380,,Couple families,45 to 54 years,"$25,000 and over",6930.0
7010,2015,Province 4,Fourth quintile,Owned living quarters,C381,8910.0,Couple families,45 to 54 years,"$30,000 and over",6830.0
7013,2015,Province 4,Fourth quintile,Household operations,C384,5527.0,Couple families,45 to 54 years,"$45,000 and over",6440.0
7014,2015,Province 4,Fourth quintile,Communications,C385,2827.0,Couple families,45 to 54 years,"$50,000 and over",6290.0
7015,2015,Province 4,Fourth quintile,Household furnishings and equipment,C386,2922.0,Couple families,45 to 54 years,"$60,000 and over",5900.0
7018,2015,Province 4,Fourth quintile,Household appliances,C389,431.0,Couple families,45 to 54 years,"$80,000 and over",4890.0
7021,2015,Province 4,Highest quintile,Total expenditure,C392,130270.0,Couple families,55 to 64 years,All income groups,7850.0
7022,2015,Province 4,Highest quintile,Food purchased from stores,C393,6639.0,Couple families,55 to 64 years,"Under $10,000",70.0
7023,2015,Province 4,Highest quintile,Food purchased from restaurants,C394,2896.0,Couple families,55 to 64 years,"$10,000 and over",7780.0
7025,2015,Province 4,Highest quintile,Principal accommodation,C396,15307.0,Couple families,55 to 64 years,"$20,000 and over",7650.0
7029,2015,Province 4,Highest quintile,Other accommodation,C400,,Couple families,55 to 64 years,"$40,000 and over",7070.0
7034,2015,Province 4,Highest quintile,Household equipment,C405,,Couple families,55 to 64 years,"$75,000 and over",5010.0
7036,2015,Province 4,Highest quintile,Clothing and accessories,C407,4700.0,Couple families,55 to 64 years,"$90,000 and over",4050.0
7037,2015,Province 4,Highest quintile,Transportation,C408,21834.0,Couple families,55 to 64 years,Median total income,92310.0
7039,2015,Province 5,All quintiles,Food purchased from stores,C410,5588.0,Couple families,Total all ages,"Under $10,000",2800.0
7040,2015,Province 5,All quintiles,Food purchased from restaurants,C411,1889.0,Couple families,Total all ages,"$10,000 and over",217350.0
7044,2015,Province 5,All quintiles,Owned living quarters,C415,6844.0,Couple families,Total all ages,"$30,000 and over",204380.0
7046,2015,Province 5,All quintiles,Other accommodation,C417,1331.0,Couple families,Total all ages,"$40,000 and over",185760.0
7047,2015,Province 5,All quintiles,Household operations,C418,4554.0,Couple families,Total all ages,"$45,000 and over",177160.0
7049,2015,Province 5,All quintiles,Household furnishings and equipment,C420,1980.0,Couple families,Total all ages,"$60,000 and over",150410.0
7051,2015,Province 5,All quintiles,Household equipment,C422,1162.0,Couple families,Total all ages,"$75,000 and over",123420.0
7054,2015,Province 5,All quintiles,Transportation,C425,11029.0,Couple families,Total all ages,Median total income,82860.0
7055,2015,Province 5,Lowest quintile,Total expenditure,C426,26372.0,Couple families,0 to 24 years,All income groups,2940.0
7056,2015,Province 5,Lowest quintile,Food purchased from stores,C427,3273.0,Couple families,0 to 24 years,"Under $10,000",280.0
7057,2015,Province 5,Lowest quintile,Food purchased from restaurants,C428,654.0,Couple families,0 to 24 years,"$10,000 and over",2660.0
7059,2015,Province 5,Lowest quintile,Principal accommodation,C430,7863.0,Couple families,0 to 24 years,"$20,000 and over",2290.0
7061,2015,Province 5,Lowest quintile,Owned living quarters,C432,,Couple families,0 to 24 years,"$30,000 and over",1820.0
7062,2015,Province 5,Lowest quintile,"Water, fuel and electricity for principal accommodation",C433,1737.0,Couple families,0 to 24 years,"$35,000 and over",1550.0
7064,2015,Province 5,Lowest quintile,Household operations,C435,2358.0,Couple families,0 to 24 years,"$45,000 and over",1100.0
7068,2015,Province 5,Lowest quintile,Household equipment,C439,,Couple families,0 to 24 years,"$75,000 and over",340.0
7069,2015,Province 5,Lowest quintile,Household appliances,C440,,Couple families,0 to 24 years,"$80,000 and over",280.0
7070,2015,Province 5,Lowest quintile,Clothing and accessories,C441,1027.0,Couple families,0 to 24 years,"$90,000 and over",180.0
7073,2015,Province 5,Second quintile,Food purchased from stores,C444,4451.0,Couple families,25 to 34 years,"Under $10,000",680.0
7074,2015,Province 5,Second quintile,Food purchased from restaurants,C445,1163.0,Couple families,25 to 34 years,"$10,000 and over",22550.0
7075,2015,Province 5,Second quintile,Shelter,C446,10314.0,Couple families,25 to 34 years,"$15,000 and over",22240.0
7076,2015,Province 5,Second quintile,Principal accommodation,C447,9822.0,Couple families,25 to 34 years,"$20,000 and over",21900.0
7078,2015,Province 5,Second quintile,Owned living quarters,C449,3523.0,Couple families,25 to 34 years,"$30,000 and over",20810.0
7079,2015,Province 5,Second quintile,"Water, fuel and electricity for principal accommodation",C450,2416.0,Couple families,25 to 34 years,"$35,000 and over",20110.0
7082,2015,Province 5,Second quintile,Communications,C453,1760.0,Couple families,25 to 34 years,"$50,000 and over",17300.0
7083,2015,Province 5,Second quintile,Household furnishings and equipment,C454,1062.0,Couple families,25 to 34 years,"$60,000 and over",15170.0
7093,2015,Province 5,Third quintile,Principal accommodation,C464,11336.0,Couple families,35 to 44 years,"$20,000 and over",34250.0
7095,2015,Province 5,Third quintile,Owned living quarters,C466,5203.0,Couple families,35 to 44 years,"$30,000 and over",33380.0
7096,2015,Province 5,Third quintile,"Water, fuel and electricity for principal accommodation",C467,3313.0,Couple families,35 to 44 years,"$35,000 and over",32780.0
7097,2015,Province 5,Third quintile,Other accommodation,C468,908.0,Couple families,35 to 44 years,"$40,000 and over",32050.0
7098,2015,Province 5,Third quintile,Household operations,C469,4489.0,Couple families,35 to 44 years,"$45,000 and over",31220.0
7100,2015,Province 5,Third quintile,Household furnishings and equipment,C471,1974.0,Couple families,35 to 44 years,"$60,000 and over",28160.0
7102,2015,Province 5,Third quintile,Household equipment,C473,1341.0,Couple families,35 to 44 years,"$75,000 and over",24300.0
7103,2015,Province 5,Third quintile,Household appliances,C474,447.0,Couple families,35 to 44 years,"$80,000 and over",22880.0
7104,2015,Province 5,Third quintile,Clothing and accessories,C475,2566.0,Couple families,35 to 44 years,"$90,000 and over",20020.0
7105,2015,Province 5,Third quintile,Transportation,C476,12732.0,Couple families,35 to 44 years,Median total income,98340.0
7107,2015,Province 5,Fourth quintile,Food purchased from stores,C478,6634.0,Couple families,45 to 54 years,"Under $10,000",500.0
7111,2015,Province 5,Fourth quintile,Rented living quarters,C482,2079.0,Couple families,45 to 54 years,"$25,000 and over",42740.0
7112,2015,Province 5,Fourth quintile,Owned living quarters,C483,8994.0,Couple families,45 to 54 years,"$30,000 and over",42140.0
7114,2015,Province 5,Fourth quintile,Other accommodation,C485,1398.0,Couple families,45 to 54 years,"$40,000 and over",40610.0
7115,2015,Province 5,Fourth quintile,Household operations,C486,5438.0,Couple families,45 to 54 years,"$45,000 and over",39680.0
7119,2015,Province 5,Fourth quintile,Household equipment,C490,1243.0,Couple families,45 to 54 years,"$75,000 and over",32250.0
7121,2015,Province 5,Fourth quintile,Clothing and accessories,C492,3289.0,Couple families,45 to 54 years,"$90,000 and over",27640.0
7123,2015,Province 5,Highest quintile,Total expenditure,C494,139433.0,Couple families,55 to 64 years,All income groups,51360.0
7127,2015,Province 5,Highest quintile,Principal accommodation,C498,20314.0,Couple families,55 to 64 years,"$20,000 and over",49480.0
7128,2015,Province 5,Highest quintile,Rented living quarters,C499,804.0,Couple families,55 to 64 years,"$25,000 and over",48670.0
7129,2015,Province 5,Highest quintile,Owned living quarters,C500,15041.0,Couple families,55 to 64 years,"$30,000 and over",47720.0
7130,2015,Province 5,Highest quintile,"Water, fuel and electricity for principal accommodation",C501,4469.0,Couple families,55 to 64 years,"$35,000 and over",46600.0
7132,2015,Province 5,Highest quintile,Household operations,C503,7135.0,Couple families,55 to 64 years,"$45,000 and over",43690.0
7136,2015,Province 5,Highest quintile,Household equipment,C507,2250.0,Couple families,55 to 64 years,"$75,000 and over",32190.0
7138,2015,Province 5,Highest quintile,Clothing and accessories,C509,5063.0,Couple families,55 to 64 years,"$90,000 and over",26240.0
7143,2015,Province 6,All quintiles,Shelter,C514,12171.0,Couple families,Total all ages,"$15,000 and over",89810.0
7144,2015,Province 6,All quintiles,Principal accommodation,C515,11087.0,Couple families,Total all ages,"$20,000 and over",89000.0
7145,2015,Province 6,All quintiles,Rented living quarters,C516,2052.0,Couple families,Total all ages,"$25,000 and over",87900.0
7147,2015,Province 6,All quintiles,"Water, fuel and electricity for principal accommodation",C518,3049.0,Couple families,Total all ages,"$35,000 and over",83730.0
7149,2015,Province 6,All quintiles,Household operations,C520,4334.0,Couple families,Total all ages,"$45,000 and over",78450.0
7153,2015,Province 6,All quintiles,Household equipment,C524,1028.0,Couple families,Total all ages,"$75,000 and over",59570.0
7154,2015,Province 6,All quintiles,Household appliances,C525,360.0,Couple families,Total all ages,"$80,000 and over",56180.0
7159,2015,Province 6,Lowest quintile,Food purchased from restaurants,C530,746.0,Couple families,0 to 24 years,"$10,000 and over",1290.0
7160,2015,Province 6,Lowest quintile,Shelter,C531,7520.0,Couple families,0 to 24 years,"$15,000 and over",1210.0
7161,2015,Province 6,Lowest quintile,Principal accommodation,C532,7303.0,Couple families,0 to 24 years,"$20,000 and over",1110.0
7162,2015,Province 6,Lowest quintile,Rented living quarters,C533,3895.0,Couple families,0 to 24 years,"$25,000 and over",1010.0
7163,2015,Province 6,Lowest quintile,Owned living quarters,C534,1486.0,Couple families,0 to 24 years,"$30,000 and over",900.0
7164,2015,Province 6,Lowest quintile,"Water, fuel and electricity for principal accommodation",C535,1922.0,Couple families,0 to 24 years,"$35,000 and over",750.0
7165,2015,Province 6,Lowest quintile,Other accommodation,C536,217.0,Couple families,0 to 24 years,"$40,000 and over",650.0
7166,2015,Province 6,Lowest quintile,Household operations,C537,2431.0,Couple families,0 to 24 years,"$45,000 and over",530.0
7168,2015,Province 6,Lowest quintile,Household furnishings and equipment,C539,1014.0,Couple families,0 to 24 years,"$60,000 and over",290.0
7170,2015,Province 6,Lowest quintile,Household equipment,C541,547.0,Couple families,0 to 24 years,"$75,000 and over",170.0
7171,2015,Province 6,Lowest quintile,Household appliances,C542,225.0,Couple families,0 to 24 years,"$80,000 and over",140.0
7175,2015,Province 6,Second quintile,Food purchased from stores,C546,4620.0,Couple families,25 to 34 years,"Under $10,000",470.0
7176,2015,Province 6,Second quintile,Food purchased from restaurants,C547,1114.0,Couple families,25 to 34 years,"$10,000 and over",12010.0
7177,2015,Province 6,Second quintile,Shelter,C548,9264.0,Couple families,25 to 34 years,"$15,000 and over",11860.0
7179,2015,Province 6,Second quintile,Rented living quarters,C550,2634.0,Couple families,25 to 34 years,"$25,000 and over",11400.0
7181,2015,Province 6,Second quintile,"Water, fuel and electricity for principal accommodation",C552,2663.0,Couple families,25 to 34 years,"$35,000 and over",10770.0
7183,2015,Province 6,Second quintile,Household operations,C554,3082.0,Couple families,25 to 34 years,"$45,000 and over",9830.0
7187,2015,Province 6,Second quintile,Household equipment,C558,799.0,Couple families,25 to 34 years,"$75,000 and over",6720.0
7195,2015,Province 6,Third quintile,Principal accommodation,C566,10474.0,Couple families,35 to 44 years,"$20,000 and over",16910.0
7196,2015,Province 6,Third quintile,Rented living quarters,C567,1931.0,Couple families,35 to 44 years,"$25,000 and over",16740.0
7197,2015,Province 6,Third quintile,Owned living quarters,C568,5307.0,Couple families,35 to 44 years,"$30,000 and over",16540.0
7202,2015,Province 6,Third quintile,Household furnishings and equipment,C573,1592.0,Couple families,35 to 44 years,"$60,000 and over",14450.0
7203,2015,Province 6,Third quintile,Household furnishings,C574,633.0,Couple families,35 to 44 years,"$70,000 and over",13430.0
7205,2015,Province 6,Third quintile,Household appliances,C576,362.0,Couple families,35 to 44 years,"$80,000 and over",12310.0
7207,2015,Province 6,Third quintile,Transportation,C578,9837.0,Couple families,35 to 44 years,Median total income,107180.0
7208,2015,Province 6,Fourth quintile,Total expenditure,C579,78258.0,Couple families,45 to 54 years,All income groups,19740.0
7209,2015,Province 6,Fourth quintile,Food purchased from stores,C580,7154.0,Couple families,45 to 54 years,"Under $10,000",270.0
7212,2015,Province 6,Fourth quintile,Principal accommodation,C583,11794.0,Couple families,45 to 54 years,"$20,000 and over",19230.0
7218,2015,Province 6,Fourth quintile,Communications,C589,2480.0,Couple families,45 to 54 years,"$50,000 and over",17580.0
7219,2015,Province 6,Fourth quintile,Household furnishings and equipment,C590,1734.0,Couple families,45 to 54 years,"$60,000 and over",16800.0
7220,2015,Province 6,Fourth quintile,Household furnishings,C591,577.0,Couple families,45 to 54 years,"$70,000 and over",15970.0
7221,2015,Province 6,Fourth quintile,Household equipment,C592,1099.0,Couple families,45 to 54 years,"$75,000 and over",15420.0
7222,2015,Province 6,Fourth quintile,Household appliances,C593,406.0,Couple families,45 to 54 years,"$80,000 and over",14880.0
7225,2015,Province 6,Highest quintile,Total expenditure,C596,134542.0,Couple families,55 to 64 years,All income groups,19680.0
7230,2015,Province 6,Highest quintile,Rented living quarters,C601,,Couple families,55 to 64 years,"$25,000 and over",18850.0
7235,2015,Province 6,Highest quintile,Communications,C606,2999.0,Couple families,55 to 64 years,"$50,000 and over",17040.0
7236,2015,Province 6,Highest quintile,Household furnishings and equipment,C607,3362.0,Couple families,55 to 64 years,"$60,000 and over",15960.0
7237,2015,Province 6,Highest quintile,Household furnishings,C608,1324.0,Couple families,55 to 64 years,"$70,000 and over",14750.0
7239,2015,Province 6,Highest quintile,Household appliances,C610,564.0,Couple families,55 to 64 years,"$80,000 and over",13410.0
7240,2015,Province 6,Highest quintile,Clothing and accessories,C611,5289.0,Couple families,55 to 64 years,"$90,000 and over",12010.0
7242,2015,Province 7,All quintiles,Total expenditure,C613,68431.0,Couple families,Total all ages,All income groups,187160.0
7245,2015,Province 7,All quintiles,Shelter,C616,13558.0,Couple families,Total all ages,"$15,000 and over",183870.0
7247,2015,Province 7,All quintiles,Rented living quarters,C618,3389.0,Couple families,Total all ages,"$25,000 and over",179470.0
7248,2015,Province 7,All quintiles,Owned living quarters,C619,7253.0,Couple families,Total all ages,"$30,000 and over",173490.0
7251,2015,Province 7,All quintiles,Household operations,C622,3693.0,Couple families,Total all ages,"$45,000 and over",149020.0
7256,2015,Province 7,All quintiles,Household appliances,C627,457.0,Couple families,Total all ages,"$80,000 and over",91340.0
7259,2015,Province 7,Lowest quintile,Total expenditure,C630,26194.0,Couple families,0 to 24 years,All income groups,2860.0
7260,2015,Province 7,Lowest quintile,Food purchased from stores,C631,3719.0,Couple families,0 to 24 years,"Under $10,000",140.0
7267,2015,Province 7,Lowest quintile,Other accommodation,C638,,Couple families,0 to 24 years,"$40,000 and over",1490.0
7270,2015,Province 7,Lowest quintile,Household furnishings and equipment,C641,723.0,Couple families,0 to 24 years,"$60,000 and over",670.0
7272,2015,Province 7,Lowest quintile,Household equipment,C643,341.0,Couple families,0 to 24 years,"$75,000 and over",320.0
7273,2015,Province 7,Lowest quintile,Household appliances,C644,181.0,Couple families,0 to 24 years,"$80,000 and over",250.0
7275,2015,Province 7,Lowest quintile,Transportation,C646,3687.0,Couple families,0 to 24 years,Median total income,41180.0
7277,2015,Province 7,Second quintile,Food purchased from stores,C648,4885.0,Couple families,25 to 34 years,"Under $10,000",280.0
7278,2015,Province 7,Second quintile,Food purchased from restaurants,C649,1077.0,Couple families,25 to 34 years,"$10,000 and over",19850.0
7280,2015,Province 7,Second quintile,Principal accommodation,C651,10570.0,Couple families,25 to 34 years,"$20,000 and over",19420.0
7285,2015,Province 7,Second quintile,Household operations,C656,2631.0,Couple families,25 to 34 years,"$45,000 and over",16500.0
7288,2015,Province 7,Second quintile,Household furnishings,C659,573.0,Couple families,25 to 34 years,"$70,000 and over",11420.0
7291,2015,Province 7,Second quintile,Clothing and accessories,C662,1697.0,Couple families,25 to 34 years,"$90,000 and over",7520.0
7292,2015,Province 7,Second quintile,Transportation,C663,6240.0,Couple families,25 to 34 years,Median total income,76420.0
7297,2015,Province 7,Third quintile,Principal accommodation,C668,11784.0,Couple families,35 to 44 years,"$20,000 and over",30440.0
7298,2015,Province 7,Third quintile,Rented living quarters,C669,3824.0,Couple families,35 to 44 years,"$25,000 and over",30090.0
7300,2015,Province 7,Third quintile,"Water, fuel and electricity for principal accommodation",C671,1831.0,Couple families,35 to 44 years,"$35,000 and over",29130.0
7301,2015,Province 7,Third quintile,Other accommodation,C672,534.0,Couple families,35 to 44 years,"$40,000 and over",28490.0
7302,2015,Province 7,Third quintile,Household operations,C673,3371.0,Couple families,35 to 44 years,"$45,000 and over",27740.0
7304,2015,Province 7,Third quintile,Household furnishings and equipment,C675,1797.0,Couple families,35 to 44 years,"$60,000 and over",24820.0
7305,2015,Province 7,Third quintile,Household furnishings,C676,739.0,Couple families,35 to 44 years,"$70,000 and over",22380.0
7306,2015,Province 7,Third quintile,Household equipment,C677,1015.0,Couple families,35 to 44 years,"$75,000 and over",21050.0
7308,2015,Province 7,Third quintile,Clothing and accessories,C679,2635.0,Couple families,35 to 44 years,"$90,000 and over",17050.0
7310,2015,Province 7,Fourth quintile,Total expenditure,C681,81370.0,Couple families,45 to 54 years,All income groups,37780.0
7311,2015,Province 7,Fourth quintile,Food purchased from stores,C682,7936.0,Couple families,45 to 54 years,"Under $10,000",350.0
7313,2015,Province 7,Fourth quintile,Shelter,C684,14931.0,Couple families,45 to 54 years,"$15,000 and over",37100.0
7314,2015,Province 7,Fourth quintile,Principal accommodation,C685,13766.0,Couple families,45 to 54 years,"$20,000 and over",36750.0
7317,2015,Province 7,Fourth quintile,"Water, fuel and electricity for principal accommodation",C688,2256.0,Couple families,45 to 54 years,"$35,000 and over",35290.0
7318,2015,Province 7,Fourth quintile,Other accommodation,C689,1165.0,Couple families,45 to 54 years,"$40,000 and over",34540.0
7319,2015,Province 7,Fourth quintile,Household operations,C690,4405.0,Couple families,45 to 54 years,"$45,000 and over",33700.0
7320,2015,Province 7,Fourth quintile,Communications,C691,1875.0,Couple families,45 to 54 years,"$50,000 and over",32680.0
7323,2015,Province 7,Fourth quintile,Household equipment,C694,1399.0,Couple families,45 to 54 years,"$75,000 and over",26370.0
7324,2015,Province 7,Fourth quintile,Household appliances,C695,567.0,Couple families,45 to 54 years,"$80,000 and over",24990.0
7325,2015,Province 7,Fourth quintile,Clothing and accessories,C696,3235.0,Couple families,45 to 54 years,"$90,000 and over",22210.0
7329,2015,Province 7,Highest quintile,Food purchased from restaurants,C700,3284.0,Couple families,55 to 64 years,"$10,000 and over",42990.0
7330,2015,Province 7,Highest quintile,Shelter,C701,20684.0,Couple families,55 to 64 years,"$15,000 and over",42240.0
7334,2015,Province 7,Highest quintile,"Water, fuel and electricity for principal accommodation",C705,2758.0,Couple families,55 to 64 years,"$35,000 and over",39150.0
7336,2015,Province 7,Highest quintile,Household operations,C707,6323.0,Couple families,55 to 64 years,"$45,000 and over",36360.0
7338,2015,Province 7,Highest quintile,Household furnishings and equipment,C709,2983.0,Couple families,55 to 64 years,"$60,000 and over",31030.0
7339,2015,Province 7,Highest quintile,Household furnishings,C710,1173.0,Couple families,55 to 64 years,"$70,000 and over",27040.0
7341,2015,Province 7,Highest quintile,Household appliances,C712,684.0,Couple families,55 to 64 years,"$80,000 and over",23130.0
7343,2015,Province 7,Highest quintile,Transportation,C714,14894.0,Couple families,55 to 64 years,Median total income,83950.0
7344,2015,Province 8,All quintiles,Total expenditure,C715,85379.0,Couple families,Total all ages,All income groups,29950.0
7345,2015,Province 8,All quintiles,Food purchased from stores,C716,5658.0,Couple families,Total all ages,"Under $10,000",320.0
7347,2015,Province 8,All quintiles,Shelter,C718,19197.0,Couple families,Total all ages,"$15,000 and over",29340.0
7350,2015,Province 8,All quintiles,Owned living quarters,C721,10581.0,Couple families,Total all ages,"$30,000 and over",28060.0
7353,2015,Province 8,All quintiles,Household operations,C724,4788.0,Couple families,Total all ages,"$45,000 and over",24760.0
7354,2015,Province 8,All quintiles,Communications,C725,2340.0,Couple families,Total all ages,"$50,000 and over",23610.0
7355,2015,Province 8,All quintiles,Household furnishings and equipment,C726,2137.0,Couple families,Total all ages,"$60,000 and over",21270.0
7356,2015,Province 8,All quintiles,Household furnishings,C727,979.0,Couple families,Total all ages,"$70,000 and over",18980.0
7357,2015,Province 8,All quintiles,Household equipment,C728,986.0,Couple families,Total all ages,"$75,000 and over",17810.0
